Código disciplina;Nome disciplina;Qtd de estudantes;Aprovações;Reprovações;Abandonos;Taxa de aprovação;Taxa de reprovação
FCTE0001;Introdução à Engenharia;80;61;18;1;0.7625;0.225
FCTE0001;Introdução à Engenharia;109;83;16;10;0.7615;0.1468
FCTE0001;Introdução à Engenharia;84;75;8;1;0.8929;0.0952
FCTE0001;Introdução à Engenharia;108;92;13;3;0.8519;0.1204
FCTE0001;Introdução à Engenharia;111;91;17;3;0.8198;0.1532
FCTE0001;Introdução à Engenharia;93;74;16;3;0.7957;0.172
FCTE0001;Introdução à Engenharia;134;115;16;3;0.8582;0.1194
FCTE0001;Introdução à Engenharia;69;52;15;2;0.7536;0.2174
FCTE0001;Introdução à Engenharia;95;81;9;5;0.8526;0.0947
FCTE0001;Introdução à Engenharia;89;73;12;4;0.8202;0.1348
FCTE0001;Introdução à Engenharia;90;74;10;6;0.8222;0.1111
FCTE0001;Introdução à Engenharia;145;127;13;5;0.8759;0.0897
FCTE0001;Introdução à Engenharia;131;108;19;4;0.8244;0.145
FCTE0001;Introdução à Engenharia;70;53;15;2;0.7571;0.2143
FCTE0001;Introdução à Engenharia;77;65;12;0;0.8442;0.1558
FCTE0001;Introdução à Engenharia;107;81;20;6;0.757;0.1869
FCTE0001;Introdução à Engenharia;98;80;17;1;0.8163;0.1735
FCTE0001;Introdução à Engenharia;89;55;30;4;0.618;0.3371
FCTE0001;Introdução à Engenharia;109;82;22;5;0.7523;0.2018
FCTE0001;Introdução à Engenharia;110;92;13;5;0.8364;0.1182
FCTE0001;Introdução à Engenharia;119;92;19;8;0.7731;0.1597
FCTE0001;Introdução à Engenharia;76;58;10;8;0.7632;0.1316
FCTE0001;Introdução à Engenharia;88;62;25;1;0.7045;0.2841
FCTE0001;Introdução à Engenharia;113;90;18;5;0.7965;0.1593
FCTE0002;Cálculo para Engenharia 1;99;77;20;2;0.7778;0.202
FCTE0002;Cálculo para Engenharia 1;140;103;30;7;0.7357;0.2143
FCTE0002;Cálculo para Engenharia 1;133;112;17;4;0.8421;0.1278
FCTE0002;Cálculo para Engenharia 1;116;84;25;7;0.7241;0.2155
FCTE0002;Cálculo para Engenharia 1;127;89;31;7;0.7008;0.2441
FCTE0002;Cálculo para Engenharia 1;120;79;34;7;0.6583;0.2833
FCTE0002;Cálculo para Engenharia 1;89;61;23;5;0.6854;0.2584
FCTE0002;Cálculo para Engenharia 1;96;70;23;3;0.7292;0.2396
FCTE0002;Cálculo para Engenharia 1;123;96;25;2;0.7805;0.2033
FCTE0002;Cálculo para Engenharia 1;75;58;17;0;0.7733;0.2267
FCTE0002;Cálculo para Engenharia 1;128;90;23;15;0.7031;0.1797
FCTE0002;Cálculo para Engenharia 1;88;74;11;3;0.8409;0.125
FCTE0002;Cálculo para Engenharia 1;75;57;15;3;0.76;0.2
